Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Ayrshire Central;Philippa Whitford;2;Ayrshire and Lanark;68997;15504;11762;1050;0;0;16771;0;0
Ayrshire North and Arran;Patricia Gibson;2;Ayrshire and Lanark;73174;14818;13040;1124;0;0;18451;0;0
Banff and Buchan;David Duguid;2;Grampian;67601;19976;3936;1448;0;0;16283;0;0
Berwickshire, Roxburgh and Selkirk;John Lamont;2;Borders;73191;28213;4519;2482;0;0;17153;0;0
Caithness Sutherland and Easter Ross;Jamie Stone;2;Highland;46868;6990;3833;11061;0;0;9017;0;0
Coatbridge, Chryston and Bellshill;Hugh Gaffney;2;Glasgow area;71198;7318;19193;922;0;0;17607;0;0
Cumbernauld, Kilsyth and Kirkintilloch East;Stuart McDonald;2;Glasgow area;66554;8010;14858;1238;605;0;19122;0;0
Dumfries and Galloway;Alister Jack;2;Dumfries and Galloway;74206;22344;10775;1241;0;0;16701;0;538
Dumfriesshire, Clydesdale and Tweeddale;David Mundell;2;Dumfries and Galloway;67672;24177;8102;1949;0;0;14736;0;0
Dunbartonshire East;Jo Swinson;2;Glasgow area;66300;7563;7531;21023;0;0;15684;0;0
Dunbartonshire West;Martin Docherty;2;Glasgow area;67602;7582;16602;1009;0;0;18890;0;0
Dundee East;Stewart Hosie;2;Tayside;65854;11746;11176;1615;0;0;18391;0;0
Dundee West;Chris Law;2;Tayside;62644;6257;12783;1189;0;0;18045;0;403
Dunfermline and West Fife;Douglas Chapman;2;Fife;75672;12593;17277;3019;0;0;18121;0;0
East Kilbride, Strathaven and Lesmahagow;Lisa Cameron;2;Ayrshire and Lanark;80442;13704;17157;1590;628;0;21023;0;0
East Lothian;Martin Whitfield;2;Edinburgh area;79093;16540;20158;1738;0;0;17075;0;367
Edinburgh East;Tommy Sheppard;2;Edinburgh area;65896;8081;15084;1849;0;0;18509;0;0
Edinburgh North and Leith;Deidre Brock;2;Edinburgh area;79473;15385;17618;2579;0;1727;19243;0;0
Edinburgh South;Ian Murray;2;Edinburgh area;64553;9428;26269;1388;0;0;10755;0;0
Edinburgh South West;Joanna Cherry;2;Edinburgh area;71178;16478;13213;2124;0;0;17575;0;0
Edinburgh West;Christine Jardine;2;Edinburgh area;71500;11559;7876;18108;0;0;15120;0;132
Falkirk;Johnny McNally;2;Central;82240;14088;16029;1120;712;908;20952;0;0
Fife North East;Stephen Gethins;2;Fife;58685;10088;4026;13741;0;0;13743;0;224
Glasgow Central;Alison Thewliss;2;Glasgow area;64346;5014;13829;1045;0;0;16096;0;0
Glasgow East;David Linden;2;Glasgow area;66242;6816;13949;576;504;0;14024;0;306
Glasgow North;Patrick Grady;2;Glasgow area;53863;4935;11537;1153;0;3251;12597;0;0
Glasgow North East;Paul Sweeney;2;Glasgow area;59932;4106;13637;637;0;0;13395;0;0
Glasgow North West;Carol Monaghan;2;Glasgow area;63773;7002;13947;1387;0;0;16508;0;0
Glasgow South;Stewart McDonald;2;Glasgow area;69126;8506;16285;1447;0;0;18312;0;0
Glasgow South West;Chris Stephens;2;Glasgow area;62991;5524;14326;661;481;0;14386;0;0
Glenrothes;Peter Grant;2;Fife;66378;7876;14024;1208;0;0;17291;0;0
Gordon;Colin Clark;2;Grampian;78531;21861;6340;6230;0;0;19254;0;0
Inverclyde;Ronnie Cowan;2;Glasgow area;58853;8399;14666;978;0;0;15050;0;0
Inverness Nairn Badenoch and Strathspey;Drew Hendry;2;Highland;76844;16118;8552;6477;0;0;21042;0;612
Kilmarnock and Loudoun;Alan Brown;2;Ayrshire and Lanark;73327;12404;13421;994;0;0;19690;0;0
Kirkcaldy and Cowdenbeath;Lesley Laird;2;Fife;72721;10762;17016;1118;540;0;16757;0;0
Lanark and Hamilton East;Angela Crawley;2;Ayrshire and Lanark;77313;16178;16084;1214;550;0;16444;0;0
Linlithgow and East Falkirk;Martyn Day;2;Edinburgh area;86186;16311;17469;1926;0;0;20388;0;0
Livingston;Hannah Bardell;2;Edinburgh area;81208;12799;17158;1512;0;0;21036;0;0
Midlothian;Danielle Rowley;2;Edinburgh area;68328;11521;16458;1721;0;0;15573;0;0
Moray;Douglas Ross;2;Grampian;70649;22637;5208;1078;0;0;18478;0;204
Motherwell and Wishaw;Marion Fellows;2;Glasgow area;68215;8490;15832;920;534;0;16150;0;0
Na h-Eileanan An Iar (Western Isles);Angus MacNeil;2;Western Isles;21301;2441;5006;250;0;0;6013;1108;0
Ochil and South Perthshire;Luke Graham;2;Central;76767;22469;10847;1742;0;0;19110;0;0
Orkney and Shetland;Alistair Carmichael;2;Orkney and Shetland;34164;2024;2664;11312;283;0;6749;0;245
Paisley and Renfrewshire North;Gavin Newlands;2;Glasgow area;67436;12842;14842;1476;0;0;17455;0;0
Paisley and Renfrewshire South;Mhairi Black;2;Glasgow area;61344;8122;14423;1327;0;0;16964;0;876
Perth and North Perthshire;Pete Wishart;2;Tayside;71743;21783;5349;2589;0;0;21804;0;0
Renfrewshire East;Paul Masterton;2;Glasgow area;70067;21496;14346;1112;0;0;16784;0;0
Ross Skye and Lochaber;Ian Blackford;2;Highland;53638;9561;4695;8042;0;0;15480;0;676
Rutherglen and Hamilton West;Ged Killen;2;Ayrshire and Lanark;80098;9941;19101;2158;465;0;18836;0;371
Stirling;Stephen Kerr;2;Central;66415;18291;10902;1683;0;0;18143;0;337
Antrim East;Sammy Wilson;1;Antrim;62908;4524;1278;21873;0;0;3555;5950;963
Antrim North;Ian Paisley;1;Antrim;75657;3482;2574;28521;0;0;7878;3282;2723
Antrim South;Paul Girvan;1;Antrim;68244;13300;2362;16508;0;0;7797;3203;0
Belfast East;Gavin Robinson;1;Antrim;63495;1408;167;23917;0;561;894;15443;500
Belfast North;Nigel Dodds;1;Antrim;68249;0;2058;21240;0;644;19159;2475;360
Belfast South;Emma Little Pengelly;1;Antrim;66105;1527;11303;13299;0;2241;7143;7946;246
Belfast West;Paul Maskey;1;Antrim;62423;0;2860;5455;0;0;27107;4132;1079
Down North;Lady Sylvia Hermon;1;Down;64334;0;400;14940;0;2549;531;16148;978
Down South;Chris Hazzard;1;Down;75685;2002;17882;8867;0;0;20328;1814;0
Fermanagh and South Tyrone;Michelle Gildernew;1;Fermanagh;70601;24355;2587;0;0;423;25230;886;0
Foyle;Elisha McCallion;1;Londonderry;70324;0;18087;7398;0;0;18256;1377;847
Lagan Valley;Jeffrey Donaldson;1;Antrim;72380;7533;3384;26762;0;0;1567;4996;684
Londonderry East;Gregory Campbell;1;Londonderry;67038;3135;4423;19723;0;0;10881;2538;330
Newry and Armagh;Mickey Brady;1;Armagh;78266;4425;9055;13177;0;0;25666;1256;0
Strangford;Jim Shannon;1;Down;64327;4419;2404;24036;0;607;1083;5693;507
Tyrone West;Barry McElduff;1;Tyrone;64009;2253;5635;11718;0;427;22060;1000;393
Ulster Mid;Francie Molloy;1;Tyrone;68485;3017;4563;12565;0;0;25455;1094;0
Upper Bann;David Simpson;1;Armagh;80168;7900;4397;22317;0;0;14325;2319;0
